Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent/
[train] Successfully loaded weights from ./TensorforcePPOAgent/
[train] Training 'TensorforcePPOAgent'
[train] Episode 143 | Steps Taken:  99 | Total Steps: Taken  14096/300000 | Total reward: -407.11681841497096
[train] Episode 144 | Steps Taken:  99 | Total Steps: Taken  14195/300000 | Total reward: -385.80127944841513
[train] Episode 145 | Steps Taken:  98 | Total Steps: Taken  14293/300000 | Total reward: -372.19064387973634
[train] Episode 146 | Steps Taken:  95 | Total Steps: Taken  14388/300000 | Total reward: -371.25834436837073
[train] Episode 147 | Steps Taken:  99 | Total Steps: Taken  14487/300000 | Total reward: -389.469599840425
[train] Episode 148 | Steps Taken:  97 | Total Steps: Taken  14584/300000 | Total reward: -363.9421015157467
[train] Episode 149 | Steps Taken:  99 | Total Steps: Taken  14683/300000 | Total reward: -385.3220265346694
[train] Episode 150 | Steps Taken:  97 | Total Steps: Taken  14780/300000 | Total reward: -391.7402386228467
[train] Episode 151 | Steps Taken:  97 | Total Steps: Taken  14877/300000 | Total reward: -318.42756889373277
[train] Episode 152 | Steps Taken:  99 | Total Steps: Taken  14976/300000 | Total reward: -417.24817895868625
[train] Episode 153 | Steps Taken:  99 | Total Steps: Taken  15075/300000 | Total reward: -401.49203945801173
[train] Episode 154 | Steps Taken:  97 | Total Steps: Taken  15172/300000 | Total reward: -361.99222553949767
[train] Episode 155 | Steps Taken: 103 | Total Steps: Taken  15275/300000 | Total reward: -407.26691973019194
[train] Episode 156 | Steps Taken:  99 | Total Steps: Taken  15374/300000 | Total reward: -403.5387823869867
[train] Episode 157 | Steps Taken:  96 | Total Steps: Taken  15470/300000 | Total reward: -339.5716248867277
[train] Episode 158 | Steps Taken: 101 | Total Steps: Taken  15571/300000 | Total reward: -454.4263505536999
[train] Episode 159 | Steps Taken: 100 | Total Steps: Taken  15671/300000 | Total reward: -375.4289104894993
