Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent_exp/
[train] Successfully loaded weights from ./TensorforcePPOAgent_exp/
[train] Training 'TensorforcePPOAgent_exp'
[train] Episode 143 | Steps Taken:  97 | Total Steps: Taken  14060/1000000 | Total reward: -482.52570276313196
[train] Episode 144 | Steps Taken: 100 | Total Steps: Taken  14160/1000000 | Total reward: -547.4389863276788
[train] Episode 145 | Steps Taken:  98 | Total Steps: Taken  14258/1000000 | Total reward: -486.30564429114963
[train] Episode 146 | Steps Taken: 100 | Total Steps: Taken  14358/1000000 | Total reward: -525.9803412636113
[train] Episode 147 | Steps Taken:  98 | Total Steps: Taken  14456/1000000 | Total reward: -516.9972865634929
[train] Episode 148 | Steps Taken:  98 | Total Steps: Taken  14554/1000000 | Total reward: -501.76429917757997
[train] Episode 149 | Steps Taken:  99 | Total Steps: Taken  14653/1000000 | Total reward: -524.1483428714911
[train] Episode 150 | Steps Taken: 100 | Total Steps: Taken  14753/1000000 | Total reward: -539.3666459734218
[train] Episode 151 | Steps Taken:  96 | Total Steps: Taken  14849/1000000 | Total reward: -469.21332441342423
[train] Episode 152 | Steps Taken:  98 | Total Steps: Taken  14947/1000000 | Total reward: -507.92704933039187
[train] Episode 153 | Steps Taken:  98 | Total Steps: Taken  15045/1000000 | Total reward: -508.80620417247593
[train] Episode 154 | Steps Taken:  97 | Total Steps: Taken  15142/1000000 | Total reward: -473.6611723231994
[train] Episode 155 | Steps Taken:  99 | Total Steps: Taken  15241/1000000 | Total reward: -532.4984197812505
[train] Episode 156 | Steps Taken:  98 | Total Steps: Taken  15339/1000000 | Total reward: -467.9674973904055
[train] Episode 157 | Steps Taken:  98 | Total Steps: Taken  15437/1000000 | Total reward: -506.8480692014905
[train] Episode 158 | Steps Taken:  97 | Total Steps: Taken  15534/1000000 | Total reward: -472.3968114948419
[train] Episode 159 | Steps Taken:  97 | Total Steps: Taken  15631/1000000 | Total reward: -463.65702898502286
[train] Episode 160 | Steps Taken:  98 | Total Steps: Taken  15729/1000000 | Total reward: -527.8576116746251
[train] Episode 161 | Steps Taken:  98 | Total Steps: Taken  15827/1000000 | Total reward: -501.63214667045054
[train] Episode 162 | Steps Taken:  98 | Total Steps: Taken  15925/1000000 | Total reward: -489.6296062536889
[train] Episode 163 | Steps Taken: 102 | Total Steps: Taken  16027/1000000 | Total reward: -570.4541201840916
