Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensPPO_extLay_10xlearn/
[train] Pretrained model ./TensPPO_extLay_10xlearn/ not found. Starting from scratch.
[train] Training 'TensPPO_extLay_10xlearn'
[train] Episode 217 | Steps Taken:  98 | Total Steps: Taken  21282/500000 | Total reward: -563.1745494121175
[train] Episode 218 | Steps Taken:  98 | Total Steps: Taken  21380/500000 | Total reward: -551.8342391156995
[train] Episode 219 | Steps Taken:  98 | Total Steps: Taken  21478/500000 | Total reward: -567.744604810407
[train] Episode 220 | Steps Taken:  99 | Total Steps: Taken  21577/500000 | Total reward: -574.9393444983432
[train] Episode 221 | Steps Taken:  97 | Total Steps: Taken  21674/500000 | Total reward: -531.2356078926698
[train] Episode 222 | Steps Taken:  99 | Total Steps: Taken  21773/500000 | Total reward: -573.8130881873072
[train] Episode 223 | Steps Taken:  99 | Total Steps: Taken  21872/500000 | Total reward: -563.3931241981951
[train] Episode 224 | Steps Taken:  99 | Total Steps: Taken  21971/500000 | Total reward: -578.0074470292691
[train] Episode 225 | Steps Taken:  98 | Total Steps: Taken  22069/500000 | Total reward: -568.8768083498082
[train] Episode 226 | Steps Taken:  99 | Total Steps: Taken  22168/500000 | Total reward: -567.48149090729
[train] Episode 227 | Steps Taken:  99 | Total Steps: Taken  22267/500000 | Total reward: -569.7218609997068
[train] Episode 228 | Steps Taken:  98 | Total Steps: Taken  22365/500000 | Total reward: -565.3461996173912
[train] Episode 229 | Steps Taken:  98 | Total Steps: Taken  22463/500000 | Total reward: -567.8914389184775
[train] Episode 230 | Steps Taken:  99 | Total Steps: Taken  22562/500000 | Total reward: -571.09028402001
[train] Episode 231 | Steps Taken:  99 | Total Steps: Taken  22661/500000 | Total reward: -569.7999540698426
[train] Episode 232 | Steps Taken:  99 | Total Steps: Taken  22760/500000 | Total reward: -567.2746378650247
[train] Episode 233 | Steps Taken:  99 | Total Steps: Taken  22859/500000 | Total reward: -585.4177941402382
[train] Episode 234 | Steps Taken:  98 | Total Steps: Taken  22957/500000 | Total reward: -553.7907962241206
[train] Episode 235 | Steps Taken:  98 | Total Steps: Taken  23055/500000 | Total reward: -560.6586931727104
[train] Episode 236 | Steps Taken:  97 | Total Steps: Taken  23152/500000 | Total reward: -536.9138196770436
[train] Episode 237 | Steps Taken:  99 | Total Steps: Taken  23251/500000 | Total reward: -580.4837573001373
[train] Episode 238 | Steps Taken:  98 | Total Steps: Taken  23349/500000 | Total reward: -558.9184357754667
